0,2937
3630000,4
3630001,7
3630002,16
3630003,9
3630004,11
3630005,17
3630006,27
3630007,17
3630008,13
3630009,40
3630110,1
3630212,3
3630213,19
3630214,22
3630215,4
3630216,18
3630217,8
3630218,9
3630219,7
3630220,23
3630221,16
3630222,3
3630236,1
3630237,38
3630238,13
3630239,11
3630240,24
3630241,13
3630242,17
3630243,14
3630376,16
3630377,36
3630378,32
3630379,8
3630380,5
3630381,42
3630382,37
3630383,16
3630384,71
3630385,42
3630386,24
3630387,20
3630388,60
3630424,30
3630425,34
3630426,24
3630444,38
3630445,5
3630446,13
3630447,30
3630448,34
3630449,37
3630450,3
3630452,51
3630453,8
3630454,25
3630459,9
3630490,42
3630491,22
3630527,8
3630528,20
3630529,11
3630530,13
3630531,15
3630532,18
3630533,46
3630534,4
3630535,43
3630551,22
3630555,22
3630556,50
3630557,4
3630558,11
3630660,20
3630661,17
3630662,12
3630663,7
3630664,5
3630665,58
3630666,35
3630667,19
3630668,30
3630669,39
3630670,48
3630671,6
3630673,16
3630792,1
3630793,33
3630794,51
3630795,15
3630796,43
3630797,35
3630798,13
