0.0,213
1011.0,80
1012.0,272
1013.0,140
1014.0,100
1015.0,76
1016.0,60
1017.0,196
1018.0,178
1019.0,116
1021.0,55
1022.0,34
1023.0,42
1024.0,63
1025.0,140
1026.0,14
1027.0,17
1028.0,27
1031.0,72
1032.0,60
1033.0,120
1034.0,87
1035.0,86
1036.0,11
1037.0,3
1045.0,22
1051.0,53
1052.0,40
1053.0,71
1054.0,91
1055.0,83
1056.0,72
1057.0,68
1058.0,64
1059.0,55
1060.0,74
1061.0,93
1062.0,97
1063.0,68
1064.0,69
1065.0,74
1066.0,248
1067.0,107
1068.0,134
1069.0,154
1071.0,136
1072.0,74
1073.0,73
1074.0,58
1075.0,81
1076.0,116
1077.0,145
1078.0,111
1079.0,128
1081.0,152
1082.0,197
1083.0,86
1086.0,24
1087.0,93
1091.0,77
1092.0,52
1093.0,61
1094.0,33
1095.0,59
1096.0,98
1097.0,122
1098.0,138
1101.0,277
1102.0,159
1103.0,82
1104.0,38
1106.0,75
1107.0,51
1108.0,27
1109.0,17
